reading_id,node_id,timestamp,consumption_mwh,generation_mwh,net_flow_mwh,voltage_kv,frequency_hz,power_factor,temperature_c,is_peak_demand,outage_flag
RDG0000001,NODE0025,2023-05-10T18:00:00Z,440.415,1225.49,437.491,238.73,50.187,0.985,30.5,True,False
RDG0000002,NODE0024,2023-10-22T10:00:00Z,113.141,1074.006,-420.759,10.59,50.22,0.825,7.0,False,False
RDG0000003,NODE0021,2023-10-02T16:00:00Z,633.414,503.684,459.127,113.63,50.177,0.976,23.9,False,False
RDG0000004,NODE0026,2023-01-01T06:00:00Z,118.055,81.656,-187.212,67.41,49.965,0.861,1.8,False,False
RDG0000005,NODE0048,2023-04-26T20:00:00Z,1274.283,548.871,-9.677,11.26,50.318,0.938,27.0,True,False
RDG0000006,NODE0013,2023-04-11T14:00:00Z,42.1,422.011,-776.845,11.77,49.955,0.972,21.7,False,False
RDG0000007,NODE0032,2023-09-30T19:00:00Z,41.331,111.136,40.392,11.55,50.278,0.805,34.2,True,False
RDG0000008,NODE0030,2023-02-04T06:00:00Z,739.733,1217.574,578.678,101.93,50.168,0.997,22.7,False,False
RDG0000009,NODE0040,2023-12-11T14:00:00Z,433.483,921.183,-19.476,102.5,49.95,0.938,36.2,False,False
RDG0000010,NODE0050,2023-12-22T20:00:00Z,423.925,209.292,39.124,34.41,49.772,0.83,19.7,True,False
RDG0000011,NODE0010,2023-06-07T20:00:00Z,178.418,71.177,78.759,64.88,50.043,0.854,1.4,True,False
RDG0000012,NODE0025,2023-01-14T08:00:00Z,1481.29,1323.713,823.611,59.48,49.799,0.847,39.0,True,False
RDG0000013,NODE0035,2023-05-31T13:00:00Z,132.017,73.802,0.699,391.11,50.179,0.851,-0.9,False,False
RDG0000014,NODE0009,2023-12-31T15:00:00Z,28.932,422.744,-576.604,362.17,49.929,0.967,-0.0,False,False
RDG0000015,NODE0025,2023-08-12T11:00:00Z,365.961,565.116,-950.205,107.34,49.752,0.77,-8.9,False,False
RDG0000016,NODE0004,2023-08-27T21:00:00Z,126.237,38.632,-412.715,9.99,50.45,0.8,-8.9,False,False
RDG0000017,NODE0016,2023-03-28T04:00:00Z,920.65,222.385,-921.884,65.54,50.267,0.792,23.4,False,False
RDG0000018,NODE0050,2023-04-22T19:00:00Z,843.938,94.565,821.475,384.96,50.408,0.844,41.8,True,False
RDG0000019,NODE0005,2023-06-15T18:00:00Z,54.66,414.359,-401.437,11.22,50.296,0.891,-7.7,True,False
RDG0000020,NODE0028,2023-09-10T23:00:00Z,23.514,220.812,19.2,108.24,49.606,0.99,25.0,False,False
RDG0000021,NODE0046,2023-04-15T10:00:00Z,686.72,1157.122,-835.736,209.88,50.275,0.866,35.4,False,False
RDG0000022,NODE0018,2023-08-09T00:00:00Z,414.358,404.151,372.197,35.52,50.25,0.892,26.8,False,False
RDG0000023,NODE0002,2023-12-04T10:00:00Z,62.29,13.311,46.763,69.93,49.78,0.899,38.4,False,False
RDG0000024,NODE0001,2023-12-19T16:00:00Z,471.472,42.575,113.379,32.92,50.191,0.911,17.0,False,True
RDG0000025,NODE0006,2023-07-20T20:00:00Z,131.495,410.506,-50.208,111.79,50.053,0.836,44.8,True,False
RDG0000026,NODE0022,2023-08-29T04:00:00Z,17.079,6.583,10.97,30.5,49.816,0.936,42.3,False,False
RDG0000027,NODE0013,2023-05-28T17:00:00Z,1273.059,476.575,256.847,231.45,49.783,0.775,0.7,True,False
RDG0000028,NODE0024,2023-05-03T11:00:00Z,488.736,1144.795,284.064,10.0,50.053,0.924,-3.1,False,False
RDG0000029,NODE0007,2023-01-09T08:00:00Z,1131.251,924.994,263.263,10.31,49.752,0.965,-3.7,True,False
RDG0000030,NODE0026,2023-12-02T16:00:00Z,28.781,244.54,7.954,204.56,50.449,0.771,3.7,False,False
RDG0000031,NODE0049,2023-10-12T02:00:00Z,1064.269,1387.987,668.12,110.5,50.409,0.824,22.4,False,False
RDG0000032,NODE0020,2023-02-11T02:00:00Z,922.372,1119.755,-511.332,31.07,49.765,0.77,3.2,False,False
RDG0000033,NODE0005,2023-04-17T20:00:00Z,1.435,241.65,-317.085,31.62,49.788,0.821,37.3,True,False
RDG0000034,NODE0044,2023-06-09T08:00:00Z,1443.519,1230.903,466.928,34.06,49.925,0.886,25.6,True,False
RDG0000035,NODE0010,2023-02-18T17:00:00Z,27.779,369.206,-249.393,70.28,49.939,0.867,6.7,True,False
RDG0000036,NODE0018,2023-12-08T15:00:00Z,262.701,212.97,-28.244,431.15,49.822,0.813,-5.0,False,False
RDG0000037,NODE0038,2023-01-15T03:00:00Z,25.589,17.21,18.69,29.97,49.971,0.913,40.4,False,False
RDG0000038,NODE0038,2023-10-25T13:00:00Z,16.25,12.588,13.914,63.99,49.821,0.776,-1.2,False,False
RDG0000039,NODE0045,2023-12-05T05:00:00Z,17.091,56.05,-31.153,111.1,49.588,0.813,-3.6,False,False
RDG0000040,NODE0033,2023-01-01T18:00:00Z,1238.901,1022.138,460.425,61.88,50.123,0.875,14.3,True,True
RDG0000041,NODE0014,2023-07-02T07:00:00Z,656.757,1109.311,132.858,11.44,49.529,0.908,34.0,True,False
RDG0000042,NODE0020,2023-01-10T08:00:00Z,835.556,141.026,-665.729,119.08,50.447,0.912,-1.5,True,False
RDG0000043,NODE0033,2023-07-06T15:00:00Z,782.701,908.933,-106.867,32.71,49.884,0.98,18.0,False,False
RDG0000044,NODE0005,2023-07-08T14:00:00Z,414.463,458.307,232.154,69.8,50.321,0.821,6.4,False,False
